model,cohort,n_rll,n_ryc,aa_rll_mean,aa_ryc_mean,delta_aa,welch_p,mw_p,cohen_d,rll_aa_neg_frac,spearman_age_pred,spearman_age_aa
CRANE-Z,internal,162,162,-8.098058596049382,6.5891879917592595,-14.687246587808641,1.163810128777238e-22,8.498427991938139e-21,-1.1761291750779128,0.7716049382716049,0.8160545795137742,-0.5384495224400045
CRANE-Z,gtex_blood,32,32,0.13818359375,24.5244140625,-24.38623046875,0.0007327197770401018,0.009177378006678241,-0.8884778557688904,0.4375,0.2631728839120492,-0.3765507431151803
CRANE-Z,gtex_muscle,29,29,-1.317479191438765,23.06420927467301,-24.381688466111775,0.0012800590197928707,0.013987027433812261,-0.8907385153261311,0.4482758620689655,0.2533153227396969,-0.341172946720823
CRANE-Z,cohort2,41,17,-3.111140750243903,14.783246276470589,-17.89438702671449,5.902394828166512e-06,2.849381480705345e-05,-1.3903035061858535,0.7073170731707317,0.6982575999281155,-0.6009301339534805
Ridge,internal,162,162,-8.14548195798682,6.525675962641092,-14.671157920627913,1.6762628306485457e-22,2.19421357164707e-20,-1.1709291056589877,0.7654320987654321,0.816906935673796,-0.5317297145446225
Lasso,internal,162,162,-5.942277758259652,4.333012211784744,-10.275289970044396,8.715153790894535e-10,2.0161210278158404e-09,-0.7022543897553445,0.6790123456790124,0.8115239216565588,-0.3527419827143878
CLC-S,internal,162,162,-8.138128852178658,6.5158933710805655,-14.654022223259224,1.9254470262679295e-22,2.4246019732706417e-20,-1.1689798965746712,0.7654320987654321,0.8168928121251627,-0.5312442175603517
KNN,internal,162,162,-25.39670781893004,15.881893004115224,-41.27860082304527,1.45897831019962e-88,2.4252231259648495e-52,-3.142732593396546,0.9753086419753086,0.4813166479800429,-0.8670134363821154
DT,internal,162,162,-8.364021225531692,9.17966568379824,-17.54368690932993,8.832309580241389e-14,1.6524228241869804e-08,-0.866478714141618,0.5493827160493827,0.623482386488399,-0.4785755309839381
Ridge,gtex_blood,32,32,0.29296875,24.36962890625,-24.07666015625,0.0008285375030188908,0.012491847586154224,-0.8787168161097361,0.4375,0.2543562889209713,-0.3615213966481291
Lasso,gtex_blood,32,32,-1.25390625,25.91650390625,-27.17041015625,0.00021804626329734116,0.002746213658032922,-0.9820441494053695,0.46875,0.21334426278269872,-0.3973446296380548
CLC-S,gtex_blood,32,32,-0.75927734375,25.421875,-26.18115234375,0.00035171271353993163,0.0042309433700479,-0.9456683649056333,0.46875,0.2379613847521691,-0.38030922995747435
KNN,gtex_blood,32,32,-7.143798828125,31.792236328125,-38.93603515625,4.473650826892468e-07,1.1247564701848836e-05,-1.4118618768681448,0.5625,0.0545334824558701,-0.5274813302963474
DT,gtex_blood,32,32,-5.534912109375,30.189697265625,-35.724609375,2.4617542713136094e-06,2.2531091239644453e-05,-1.297945462348999,0.5,0.06903866313711583,-0.5116277514770318
Ridge,gtex_muscle,29,29,-1.2758620689655191,23.022592152199763,-24.298454221165283,0.0013347094897619397,0.014599888726940142,-0.887127827164369,0.4482758620689655,0.26586630353827023,-0.33924536472128725
Lasso,gtex_muscle,29,29,-1.0017835909631414,22.748513674197387,-23.75029726516053,0.0019167532385653764,0.017320892547747775,-0.8552477104351663,0.4482758620689655,0.19702861445877862,-0.36610004800338136
CLC-S,gtex_muscle,29,29,-0.32699167657550765,22.07372175980975,-22.400713436385256,0.002821726056899457,0.036443967673434254,-0.8204909139882262,0.41379310344827586,0.268430122045856,-0.30838689062810815
KNN,gtex_muscle,29,29,-10.835017835909632,32.597205707491085,-43.43222354340072,1.8620237310296383e-07,8.636508745830824e-06,-1.5634462893298628,0.5862068965517241,-0.0738636470325924,-0.592330783232126
DT,gtex_muscle,29,29,-7.464625445897741,29.500297265160523,-36.964922711058264,3.6579549318297264e-06,3.266423516509979e-05,-1.3498709609622344,0.5517241379310345,0.027195323369843222,-0.523262920145322
Ridge,cohort2,41,17,-0.9988913525498891,6.135472370766487,-7.134363723316376,0.054095611457018605,0.4888663845044533,-0.4691391409614373,0.34146341463414637,0.6973179785096005,-0.11617127921433774
Lasso,cohort2,41,17,-2.229490022172949,6.433155080213902,-8.66264510238685,0.03146634211279114,0.4469738077845774,-0.5216329534579651,0.4146341463414634,0.6275280573054052,-0.24597262366859185
CLC-S,cohort2,41,17,-3.4065040650406493,9.02139037433155,-12.4278944393722,0.013170734820473456,0.1440113387498113,-0.6883700512233885,0.4146341463414634,0.677711083309311,-0.16205439435721522
KNN,cohort2,41,17,-19.179970436067997,43.559714795008915,-62.73968523107691,1.0286206443578793e-08,5.540020751445554e-07,-2.211331007913202,0.5853658536585366,-0.06923800293800002,-0.6559281971506113
DT,cohort2,41,17,-5.281596452328148,33.257575757575765,-38.53917220990391,0.00011308585706213789,0.0010668334750432512,-1.3654106140867972,0.3902439024390244,0.18882248019429448,-0.5717784859899254
