Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,Antigen processing and presentation,0.3904848155005552,2.038009510563525,0.0,0.0,0.0,27/72,14.73%,KIR3DL2;KIR2DL3;KIR2DS2;KIR2DL2;KLRC3;CALR;IFI30;IFNG;KLRD1;HLA-B;PDIA3;TAP1;HLA-DRA;KIR3DL1;HLA-C;HLA-DMA;HSPA6;KIR2DS4;HLA-DQB1;HSPA1L;KIR2DS5;RFXANK;PSME1;CD8A;PSME2;HSPA1B;CTSB,KEGG,KEGG_2021_Human
prerank,natural killer cell mediated cytotoxicity (GO:0042267),0.5383170345693921,2.5145161515232046,0.0,0.0,0.0,13/20,18.86%,GZMB;ULBP2;SLAMF7;TUBB4B;VAMP2;KIR3DL1;ULBP1;CLEC2A;KLRF2;VAMP7;TUBB;ULBP3;PLEKHM2,GOBP,GO_Biological_Process_2021
prerank,regulation of dendritic cell differentiation (GO:2001198),0.7683661553518708,2.482402679114939,0.0,0.0029789139140616546,0.01,6/11,5.51%,LGALS1;LILRB1;FCGR2B;LILRB2;HLA-B;LGALS9,GOBP,GO_Biological_Process_2021
prerank,regulation of natural killer cell chemotaxis (GO:2000501),0.9071383433620167,2.4174688673609213,0.0,0.009929713046872183,0.05,4/6,1.48%,CCL3;CCL5;XCL1;CCL4,GOBP,GO_Biological_Process_2021
prerank,negative regulation of interleukin-1 beta production (GO:0032691),0.5130766459578694,2.2872642267485945,0.0,0.01787348348436993,0.12,8/22,11.50%,GHSR;CARD16;CARD17;NLRP7;CX3CR1;GSTP1;GIT1;ZC3H12A,GOBP,GO_Biological_Process_2021
prerank,lymphocyte migration (GO:0072676),0.3814653903364406,2.239392044601315,0.0,0.01906504904999459,0.14,8/32,4.20%,CCL3;CCL5;XCL1;CCL4;TBX21;XCL2;CCL24;MYO1G,GOBP,GO_Biological_Process_2021
prerank,regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188),0.8455046755927672,2.2030704569742183,0.0,0.028387297298705177,0.23,5/6,12.84%,LILRB1;CD81;HAVCR2;LGALS9;LGALS3,GOBP,GO_Biological_Process_2021
prerank,peptide antigen assembly with MHC protein complex (GO:0002501),0.8148835283639877,2.16685445947331,0.0,0.03306594444608437,0.3,3/6,7.07%,CALR;HLA-DRA;HLA-DMA,GOBP,GO_Biological_Process_2021
prerank,positive regulation of lymphocyte chemotaxis (GO:0140131),0.5478123145422816,2.1186050882456615,0.0,0.05206623449794717,0.46,6/16,2.61%,CCL3;CCL5;XCL1;CCL4;S100A7;XCL2,GOBP,GO_Biological_Process_2021
prerank,negative regulation of interleukin-1 production (GO:0032692),0.4542807362023007,2.037768024265203,0.0,0.07979233698379433,0.69,8/26,11.50%,GHSR;CARD16;CARD17;NLRP7;CX3CR1;GSTP1;GIT1;ZC3H12A,GOBP,GO_Biological_Process_2021
prerank,positive regulation of dendritic cell differentiation (GO:2001200),0.8296266611331776,2.04920279504844,0.0,0.08436284204622604,0.67,4/5,16.77%,LGALS1;LGALS9;LGALS3;HMGB1,GOBP,GO_Biological_Process_2021
prerank,natural killer cell mediated immunity (GO:0002228),0.5418692313919942,1.9510682832535735,0.0,0.11100373953450796,0.89,8/18,12.33%,GZMB;ULBP2;SLAMF7;TUBB4B;KLRD1;KIR3DL1;ULBP1;CLEC2A,GOBP,GO_Biological_Process_2021
prerank,negative regulation of leukocyte mediated cytotoxicity (GO:0001911),0.511621290774229,1.9422346553169234,0.0,0.11260294595153054,0.91,6/14,6.71%,LILRB1;FCGR2B;KLRD1;ARRB2;LGALS9;CX3CR1,GOBP,GO_Biological_Process_2021
prerank,lymphocyte chemotaxis (GO:0048247),0.3816940875271791,1.9453479053785514,0.0,0.11365702318266004,0.89,16/35,14.92%,CCL3;CCL5;XCL1;CCL4;XCL2;CCL24;HSD3B7;GPR183;CXCL16;CCL22;CCL18;CH25H;CCL25;CXCL11;CCL1;ADAM8,GOBP,GO_Biological_Process_2021
prerank,negative regulation of interleukin-2 production (GO:0032703),0.4262810246817599,1.8592596149529204,0.0,0.17251797102304886,0.99,8/22,7.43%,XCL1;TBX21;NAV3;HAVCR2;ZFP36;GBP1;LAPTM5;HOMER3,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte migration (GO:0002685),0.42880146225743676,1.8283548583272367,0.0,0.17707988266922056,1.0,7/17,5.84%,MADCAM1;RAC1;CD81;MIA3;RHOG;RAC2;TNFRSF18,GOBP,GO_Biological_Process_2021
prerank,negative regulation of T cell cytokine production (GO:0002725),0.6270189447950223,1.794223033355744,0.0,0.18258450820956354,1.0,2/8,1.64%,XCL1;TBX21,GOBP,GO_Biological_Process_2021
prerank,positive regulation of lymphocyte apoptotic process (GO:0070230),0.6565126968521996,1.8111068039981373,0.0,0.18469266267182255,1.0,3/6,7.69%,CCL5;PDCD1;PRELID1,GOBP,GO_Biological_Process_2021
prerank,chemokine-mediated signaling pathway (GO:0070098),0.28063586419844144,1.8172211955681459,0.0,0.1858842282374472,1.0,14/45,14.79%,CCL3;CCL5;XCL1;CCL4;XCL2;CCL24;CXCL2;CCL22;CIB1;FOXC1;CCL18;CCL25;CXCL11;CCL1,GOBP,GO_Biological_Process_2021
prerank,negative regulation of natural killer cell mediated cytotoxicity (GO:0045953),0.505781156947478,1.7898296533295608,0.0,0.18631752480676528,1.0,5/14,5.51%,LILRB1;KLRD1;HLA-B;ARRB2;LGALS9,GOBP,GO_Biological_Process_2021
prerank,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.3223214268191313,1.7654788928506895,0.0,0.20768484330429843,1.0,15/37,19.31%,S100A7;GNLY;S100A12;CXCL2;RNASE6;GAPDH;ANG;PGLYRP4;HMGN2;CXCL11;DEFB1;CXCL3;PGLYRP1;F2;RNASE3,GOBP,GO_Biological_Process_2021
prerank,negative regulation of lymphocyte differentiation (GO:0045620),0.6858308910583354,1.7030650666792557,0.0,0.2333594135824478,1.0,3/5,14.24%,ID2;SFRP1;IFNL1,GOBP,GO_Biological_Process_2021
