Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,Graft-versus-host disease,0.5351807525915364,2.66153721450452,0.0,0.0,0.0,13/38,7.07%,KIR3DL2;GZMB;KIR2DL3;PRF1;FASLG;KIR2DL2;IFNG;KLRD1;HLA-B;HLA-DRA;KIR3DL1;HLA-C;HLA-DMA,KEGG,KEGG_2021_Human
prerank,Staphylococcus aureus infection,0.38323279591213166,2.1944378649561895,0.0,0.0,0.0,23/59,18.12%,C1QC;CFD;FCGR1A;FCGR2B;PLG;ITGB2;SELPLG;HLA-DRA;HLA-DMA;C5AR1;FCGR3A;HLA-DQB1;FCGR2A;ITGAL;KRT10;C1QA;KRT19;DEFB1;KRT17;ITGAM;HLA-DPA1;IL10;HLA-DRB4,KEGG,KEGG_2021_Human
prerank,Antigen processing and presentation,0.3904848155005552,2.038009510563525,0.0,0.0,0.0,27/72,14.73%,KIR3DL2;KIR2DL3;KIR2DS2;KIR2DL2;KLRC3;CALR;IFI30;IFNG;KLRD1;HLA-B;PDIA3;TAP1;HLA-DRA;KIR3DL1;HLA-C;HLA-DMA;HSPA6;KIR2DS4;HLA-DQB1;HSPA1L;KIR2DS5;RFXANK;PSME1;CD8A;PSME2;HSPA1B;CTSB,KEGG,KEGG_2021_Human
prerank,Herpes simplex virus 1 infection,-0.5129325506524358,-1.9133324103680285,0.0,0.008499224405377457,0.01,230/461,22.58%,ZNF662;ZIK1;ZNF229;ZNF418;ZNF667;ZNF154;ZNF256;ZNF135;ZNF415;ZFP28;ZNF285;ZNF304;ZNF860;ZNF606;ZNF439;ZNF471;ZNF132;ZNF404;ZNF470;TRAF5;ZNF223;ZNF550;ZNF30;ZNF175;ZNF793;ZNF546;ZNF33B;ZNF736;ZNF577;BIRC3;ZNF551;ZFP14;ZNF382;ZNF548;ZNF354B;ZNF540;ZNF248;ZNF14;ZNF514;ZNF563;ZNF530;ZNF180;ZNF879;ZNF630;ZNF671;ZNF12;ZNF772;ZNF44;ZNF549;ZNF90;ZNF569;ZNF709;ZNF783;ZNF677;ZNF334;ZNF181;ZNF234;ZNF354C;ZNF419;ZNF417;ZNF112;ZFP30;ZNF544;ZNF208;ZNF273;ZNF442;ZNF347;ZNF596;ZFP82;ZNF275;ZNF610;ZNF343;ZNF10;ZNF157;ZNF461;ZNF519;ZNF268;ZNF441;ZNF283;ZNF589;ZNF780B;ZNF107;ZNF41;ZNF253;ZNF615;ZNF416;ZNF182;ZNF85;ZNF558;ZNF547;ZNF43;EIF2AK4;ZNF510;ZNF529;ZNF568;ZNF823;RBAK;ZNF665;BCL2;EIF2AK3;ZNF567;ZNF721;ZNF83;ZNF169;ZNF814;ZNF398;ZNF761;ZNF23;ZNF84;ZNF813;ZNF486;ZNF708;ZNF527;ZNF680;ZNF583;ZNF17;ZNF682;ZNF19;ZNF235;ZNF226;ZNF599;ZNF607;ZNF45;ZNF737;ZNF597;ZNF227;ZNF773;ZNF749;ZNF649;ZNF284;ZNF324;PIK3CB;ZNF317;ZNF136;ZNF426;ZNF670;ZNF480;TRAF3;ZNF763;ZNF573;ZNF101;ZNF605;ZNF785;ZNF528;ZNF582;ZNF160;ZNF420;ZNF790;TSC1;ZNF225;ZNF431;ZNF492;ZNF614;ZNF7;ZNF627;ZNF566;ZNF792;PIK3CA;ZNF37A;ZNF559;ZNF587;ZNF829;ZNF257;SRSF1;ZNF473;ZNF561;ZFP69B;ZNF337;NXF5;ZNF254;ZNF543;ZNF658;IFNAR2;ZNF571;ZNF430;ZNF584;ZNF224;ZNF211;ZNF700;ZNF141;ZNF506;ZNF570;ZNF846;ZNF133;ZNF189;ZNF585A;ZNF713;ZNF845;ZNF765;ZNF383;ZNF878;ZNF286A;ZNF81;ZNF611;ZNF623;ZNF554;ZNF440;ZNF780A;ZNF33A;ZNF25;ZNF841;ZNF699;ZNF714;ZNF433;ZNF764;ZNF195;ZNF675;HCFC2;ZNF100;MAVS;ZNF613;JAK1;TRAF6;ZNF805;ZNF891;SYK;ZNF718;ZNF222;ZNF816;PIK3CD;ZNF766;ZNF585B;IKBKE;ZNF782;APAF1;ZNF564;ZNF468;SRSF6;ZNF221;ZNF432,KEGG,KEGG_2021_Human
prerank,Type I diabetes mellitus,0.3826878045043328,1.846151238001412,0.0,0.0963785046728972,0.06,11/39,12.50%,GZMB;PRF1;FASLG;IFNG;HLA-B;HLA-DRA;HLA-C;HLA-DMA;HLA-DQB1;IL1A;PTPRN2,KEGG,KEGG_2021_Human
prerank,Allograft rejection,0.3513454850368193,1.6736844828144581,0.0,0.10280373831775699,0.08,9/35,9.27%,GZMB;PRF1;FASLG;IFNG;HLA-B;HLA-DRA;HLA-C;HLA-DMA;HLA-DQB1,KEGG,KEGG_2021_Human
prerank,Biosynthesis of unsaturated fatty acids,0.3525224180215349,1.6532363274807202,0.0,0.11779595015576325,0.11,7/23,4.55%,ACOT7;ACOT4;TECR;SCD5;FADS2;ACAA1;ELOVL6,KEGG,KEGG_2021_Human
prerank,Aminoacyl-tRNA biosynthesis,-0.54290372619646,-1.6378318862450356,0.0,0.19548216132368149,0.39,17/25,33.85%,QRSL1;NARS2;EARS2;YARS2;AARS2;MARS2;IARS2;WARS2;LARS2;GATB;RARS2;FARSB;SEPSECS;HARS2;PSTK;GATC;FARS2,KEGG,KEGG_2021_Human
prerank,Leishmaniasis,0.2371707052007771,1.6234838181076652,0.0,0.12850467289719625,0.13,19/75,13.22%,FCGR1A;IFNG;TGFB1;NFKBIB;JUN;CYBA;ITGB2;NCF1;HLA-DRA;MYD88;MAPK3;HLA-DMA;FCGR3A;RELA;HLA-DQB1;IL1A;MAPK11;PTPN6;FCGR2A,KEGG,KEGG_2021_Human
prerank,Ribosome biogenesis in eukaryotes,-0.46912594320820256,-1.622370080961303,0.0,0.1586521889003792,0.45,40/71,33.16%,WDR3;GNL3;WDR43;RCL1;WDR75;RIOK2;NMD3;XRN2;NOL6;BMS1;MPHOSPH10;GTPBP4;HEATR1;UTP14C;WDR36;NAT10;MDN1;NOP58;UTP18;UTP15;DROSHA;NXF5;NVL;SPATA5;RPP40;RBM28;DKC1;LSG1;GNL2;EMG1;RPP30;REXO2;XPO1;PWP2;GNL3L;RIOK1;POP1;CSNK2A3;UTP14A;TCOF1,KEGG,KEGG_2021_Human
