cohort,pathway,rho_age,p_age,d_group,p_group
internal,AntigenProcessing_KEGG,0.4214213639434565,9.453854463055333e-12,0.9095623625375786,2.3558855226522925e-11
internal,NK_cytotoxicity_GO,0.48098743655455556,2.6731479045184435e-15,1.0463780533433977,3.561806274989774e-14
internal,NK_chemotaxis_GO,0.40607032218904743,6.069760671524556e-11,0.8767208295554374,1.0520713873684461e-10
internal,NegIL1b_GO,0.33808949508072345,7.906170102356035e-08,0.6788057550848654,3.605280648114498e-07
gtex_blood,AntigenProcessing_KEGG,0.20121046800527118,0.11086637955646438,0.3880714025502383,0.13219394346373792
gtex_blood,NK_cytotoxicity_GO,0.15999301854306935,0.2066356087150365,0.4611258763248596,0.07455599901636686
gtex_blood,NK_chemotaxis_GO,0.14214450138856632,0.26252451920522407,-0.03362784404984818,0.8951367031763927
gtex_blood,NegIL1b_GO,0.1784109058703235,0.1583916394212182,0.32489152135802235,0.2057397124401447
gtex_muscle,AntigenProcessing_KEGG,0.16108932718082053,0.22703888743952136,0.45457145222815204,0.09473397502024516
gtex_muscle,NK_cytotoxicity_GO,0.15335141190139245,0.2504407862484524,0.539411864281098,0.04863386038209266
gtex_muscle,NK_chemotaxis_GO,0.005728067154901291,0.9659611223066799,0.016197615112179466,0.9518920970085424
gtex_muscle,NegIL1b_GO,0.11667168362877893,0.38310661359517306,0.34108767541821705,0.207420883162984
cohort2,AntigenProcessing_KEGG,0.10862756193644124,0.3852815257548864,0.43986923353866125,0.12326933794327156
cohort2,NK_cytotoxicity_GO,0.14505957501666308,0.24519001503202334,0.6631676247631236,0.030236806117427822
cohort2,NK_chemotaxis_GO,0.36678514086154534,0.002452234016436674,1.1201444519812052,0.00016254832691123955
cohort2,NegIL1b_GO,0.45214133664467965,0.0001383122426539921,0.9976948494307343,0.0023525738059013094
